idx,item_nm
7062,Кольцо уплотнительное шарикового подшипника
7203,Корпус подшипника
35,Кран гидравлический замедлительный М18/М18
7023,Труба K-Flex ST 13х22 (2м)
430,Болт M12x30 Kuhn
6844,"Гайка барашковая (G 3/4"")"
1650,Ступица заднего колеса Т15
6515,Распылитель ID3 120 (120-01)
3976,Кронштейн
4891,"Цепь роликовая, 57 звеньев"
6443,Комплект уплотнений
5436,Генератор
911,"Корпус распылителя на 1 форсунку  (402755  D3/4""_F10)"
3119,Указатель температуры воды (Термометр) Уралец (D посадоч. места 54)
363,Шайба
4914,Шестерня вала №2 Z=26 редуктора подъемного навесного оборудования Т25 (2017)
1783,Фильтр масляный JX85100A (JX0810) Jinma 354
7060,Ступица почвофрезы 1GQN-120/140/150 (у редуктора)
4023,Ось сателлитов переднего моста Уралец/Xingtai 224
3929,Стекло заднее кабинное JM-244 Kpl (Люкс)/JM-354
6168,Пластина
3721,Радиатор в сборе FL936F 9D651-02A010000A0
1302,Звено цепи
7027,Втулка
6040,Комплект поршневых колец на двигатель YN38
3980,Гидравл.шланг EN857-2SC-DN16
2283,"Поршень ZS1100 (D = 99,4 мм) под острую форсунку"
1419,Комплект прокладок почвофрезы
6538,"Отвал универсальный гидроповоротный (Беларус 1220, 1221)"
6606,Крышка
45,Корзина сцепления Jinma 354 в сборе с ведущим диском сцепления
1168,"Фильтр воздушный Donaldson, внешний"
3584,"Нож в сборе (Полотно Нож косилки 9G дополнительное (1,8м)"
32,Дисковый нож зубчатый
3426,Крышка бака с резьбой Ø410мм с сапуном
6480,Вакуумный насос одноступенчатый VE125N (70л/мин)
1032,Ремень генератора (водяного насоса) B-1080 JD295 (TY295IT) Уралец 224 гладкий
664,"Вал карданный 6*6 шлицов, 660 мм, сечение-квадрат, б/к"
1108,Двигатель YT4A2Z
4649,Вкладыши упорные верхнее и нижнее полукольцо TY290/295  Уралец/Синтай /Xingtai (компл. 2 шт)
1580,"Ремень приводной A1016, косилки RM-1"
5364,Отвал плуга пр. LP Kuhn
1806,Крыльчатка вентилятора 540/42мм
6533,Термостат SD4BW45
6188,Крыльчатка помпы лодочного мотора (импеллер) TOHATSU
3611,Шкив коленвала КМ385BT/LL380BT
3019,KM385BT Насос масляный
1910,Переключатель Gottak Плита ЭП с 2007 года
5394,Кольцо Luytex 50 / 58 - 50
4066,Масляный фильтр JX 0506 WELIDA
2537,Распылитель FL (FL Серый)
6539,Шайба 16х26х1
4913,Воздушный фильтр кабины
5838,Стойка 40x10x1662 Rubin 9/600
6137,"Кольцо уплотнительное 112х3,55"
262,Мембрана
96,Рулевая колонка (механизм) в сборе Уралец (расст. между центрами посад. отверст. 92-122-122)
1322,Шайба
7156,Кольцо круглого сечения
5913,Вал привода ВОМ Jinma 354
4542,Вкладыши шатунные 4DW91-45
3474,Гарнитура крестовидная T90
951,Шайба
5885,Крышка поддона картера KM385ВТ
5231,Уплотнение
260,Вал №1 редуктора подъемного навесного оборудования
6843,"Держатель ножа 12X20, 10.9"
6991,Вал ведущий редуктора почвофрезы 1GQN-120/140 (18/6 зуб)
2707,Помпа  4RMAZG
875,Вилка NG 2600 RD50 P14
5800,R180 Шатун
4368,Датчик температуры охлаждающей жидкости
4747,Колпачок форсунки
4417,Крышка боковая правая под первичный вал
3400,ZS1115 Плита крепления электростартера
2360,Прокладка
4821,Венец маховика 395*18 130 зубов
3079,Труба Т-Flex A/C C-15
2219,Палец крепежный 20х120 с гайкой М16 (под стопорный палец)
2534,"Вентиль для кондиционера СН-603-06 3/8"""
2695,"Кольцо уплотнительное D104,14X"
